Algorithm,exam_comp_set1,exam_comp_set2,exam_comp_set3,exam_comp_set4,exam_comp_set5,exam_comp_set6,exam_comp_set7,exam_comp_set8,Mean Rank,Best On
GVNS,10614 +/- 671,2364 +/- 205,21941 +/- 567,25305 +/- 4473,5424 +/- 314,31634 +/- 1689,9357 +/- 347,13970 +/- 285,1.88,2
Tabu,8740 +/- 334,2740 +/- 147,25558 +/- 4537,33163 +/- 5950,5789 +/- 612,30733 +/- 898,8043 +/- 129,12972 +/- 438,2.38,4
Kempe,12383 +/- 307,2211 +/- 186,25189 +/- 1155,23999 +/- 3674,10975 +/- 1072,31449 +/- 1748,10938 +/- 183,14923 +/- 233,3.50,2
ABC,13663 +/- 708,2841 +/- 88,23287 +/- 1128,28365 +/- 7614,5995 +/- 649,33081 +/- 1719,9592 +/- 336,14339 +/- 279,3.75,0
WOA,13862 +/- 977,3578 +/- 290,30832 +/- 1851,34807 +/- 5865,11086 +/- 449,33160 +/- 1624,10386 +/- 271,14332 +/- 550,5.88,0
CP-SAT,14715 +/- 1332,3628 +/- 165,25611 +/- 3226,47735 +/- 5472,6428 +/- 637,35336 +/- 3610,10137 +/- 288,14084 +/- 295,6.25,0
LAHC,15267 +/- 1446,3952 +/- 280,33516 +/- 3218,32594 +/- 6837,12893 +/- 1152,33057 +/- 2379,12979 +/- 243,15202 +/- 343,6.62,0
SA,16249 +/- 1245,6613 +/- 358,40625 +/- 3931,32225 +/- 6410,29308 +/- 1669,33144 +/- 1495,21832 +/- 490,19954 +/- 689,8.00,0
ALNS,11252 +/- 437,3117 +/- 101,159157 +/- 28024,45419 +/- 5049,43657 +/- 28087,36662 +/- 4518,16186 +/- 3919,17420 +/- 703,8.25,0
GA,27975 +/- 8926,7544 +/- 2260,43496 +/- 6935,38595 +/- 6930,13046 +/- 1184,41681 +/- 6803,13158 +/- 1055,22823 +/- 6559,9.38,0
GD,41973 +/- 14178,130115 +/- 45729,173165 +/- 44356,35701 +/- 5674,330410 +/- 49502,39173 +/- 7972,115768 +/- 67682,526360 +/- 18912,11.00,0
HHO+,54546 +/- 2367,123467 +/- 8631,154656 +/- 25171,41154 +/- 6465,264597 +/- 25048,48776 +/- 4750,152910 +/- 8678,323709 +/- 35370,11.12,0
Greedy,68678 +/- 0,183729 +/- 0,277997 +/- 0,62720 +/- 0,412455 +/- 0,68625 +/- 0,267057 +/- 0,575089 +/- 0,13.00,0
Chain,-,-,-,-,-,-,-,-,-,-
IP,8509 +/- 0,2604 +/- 0,-,28162 +/- 0,-,27710 +/- 0,-,25 +/- 0,-,-
