algorithm,num_exams,seed,soft_penalty,runtime,feasible,hard
ABC,1000,42,5112,85.040168,True,0
ABC,1000,43,4774,85.863105,True,0
ABC,1000,44,5854,87.396028,True,0
ABC,100,42,18553,35.43506,False,308
ABC,100,43,18797,35.888848,False,316
ABC,100,44,18742,35.526432,False,322
ABC,150,42,23029,49.478299,False,254
ABC,150,43,23070,52.077198,False,245
ABC,150,44,22807,50.200622,False,251
ABC,200,42,20110,48.184069,False,59
ABC,200,43,21746,51.628885,False,57
ABC,200,44,20883,50.807596,False,56
ABC,250,42,28078,57.923973,False,25
ABC,250,43,27600,56.627545,False,20
ABC,250,44,27352,54.222987,False,24
ABC,300,42,17503,60.934831,False,3
ABC,300,43,21742,62.65828,False,10
ABC,300,44,18762,64.167701,False,4
ABC,350,42,16061,48.664317,False,1
ABC,350,43,16257,48.515701,False,1
ABC,350,44,14632,48.666755,False,1
ABC,400,42,12050,54.991206,True,0
ABC,400,43,12779,53.406413,True,0
ABC,400,44,13138,55.539726,True,0
ABC,450,42,13265,57.156498,True,0
ABC,450,43,12963,59.260672,True,0
ABC,450,44,14062,58.515777,True,0
ABC,500,42,10019,55.58876,True,0
ABC,500,43,10001,54.655485,True,0
ABC,500,44,9948,54.435617,True,0
ABC,50,42,11591,6.793906,False,378
ABC,50,43,15309,7.158896,False,392
ABC,50,44,11684,6.876539,False,371
ABC,550,42,10496,66.897811,True,0
ABC,550,43,9276,65.216084,True,0
ABC,550,44,9453,63.134321,True,0
ABC,600,42,8735,63.305154,True,0
ABC,600,43,8145,62.600139,True,0
ABC,600,44,8465,60.49124,True,0
ABC,650,42,7517,67.934462,True,0
ABC,650,43,8667,68.997941,True,0
ABC,650,44,7687,69.512197,True,0
ABC,700,42,7283,71.547466,True,0
ABC,700,43,7310,71.218816,True,0
ABC,700,44,7683,69.000186,True,0
ABC,750,42,5969,74.206115,True,0
ABC,750,43,5827,72.264214,True,0
ABC,750,44,6083,75.515826,True,0
ABC,800,42,5679,73.063255,True,0
ABC,800,43,12238,72.913516,True,0
ABC,800,44,6763,71.04278,True,0
ABC,850,42,8359,78.792055,True,0
ABC,850,43,6306,78.395657,True,0
ABC,850,44,7171,81.220016,True,0
ABC,900,42,5201,79.049349,True,0
ABC,900,43,5551,77.577516,True,0
ABC,900,44,4938,76.585784,True,0
ABC,950,42,3584,75.530318,True,0
ABC,950,43,4151,76.323647,True,0
ABC,950,44,3968,76.034592,True,0
ALNS,1000,42,46880,38.067017,True,0
ALNS,1000,43,33555,40.335701,True,0
ALNS,1000,44,38648,42.689435,True,0
ALNS,100,42,23887,2.467219,False,334
ALNS,100,43,22431,2.472956,False,328
ALNS,100,44,20335,2.478003,False,335
ALNS,150,42,24855,4.273124,False,327
ALNS,150,43,24678,4.082745,False,334
ALNS,150,44,23692,3.948334,False,336
ALNS,200,42,25147,3.573993,False,128
ALNS,200,43,27310,3.536784,False,121
ALNS,200,44,23199,3.046861,False,234
ALNS,250,42,29096,5.286161,False,51
ALNS,250,43,30959,5.056471,False,24
