algorithm,param_col,param_value,dataset,seed,soft_penalty,runtime,feasible,hard,status,wall
abc,abc_pop,10,synthetic_scaling_1000,43,6522,28.54824,True,0,ok,36.27
abc,abc_pop,10,synthetic_scaling_1000,42,7432,29.120973,True,0,ok,37.31
abc,abc_pop,10,synthetic_scaling_1000,44,9499,28.842204,True,0,ok,37.4
abc,abc_pop,32,synthetic_scaling_1000,44,5497,86.105688,True,0,ok,94.37
abc,abc_pop,32,synthetic_scaling_1000,42,4694,89.200986,True,0,ok,97.08
abc,abc_pop,32,synthetic_scaling_1000,43,6484,91.224517,True,0,ok,99.6
abc,abc_pop,55,synthetic_scaling_1000,42,4447,151.355296,True,0,ok,159.29
abc,abc_pop,55,synthetic_scaling_1000,44,7086,140.428253,True,0,ok,149.0
abc,abc_pop,55,synthetic_scaling_1000,43,6250,149.589844,True,0,ok,157.36
abc,abc_iters,500,synthetic_scaling_1000,42,8848,15.394435,True,0,ok,22.98
abc,abc_iters,500,synthetic_scaling_1000,43,7023,14.905025,True,0,ok,23.13
abc,abc_iters,500,synthetic_scaling_1000,44,9858,15.895623,True,0,ok,24.38
abc,abc_pop,78,synthetic_scaling_1000,42,4105,220.113913,True,0,ok,228.36
abc,abc_iters,1257,synthetic_scaling_1000,42,6263,36.977591,True,0,ok,45.91
abc,abc_iters,1257,synthetic_scaling_1000,43,5436,38.957531,True,0,ok,47.64
abc,abc_pop,78,synthetic_scaling_1000,43,6062,219.080147,True,0,ok,226.11
abc,abc_pop,78,synthetic_scaling_1000,44,5343,219.639722,True,0,ok,227.57
abc,abc_iters,1257,synthetic_scaling_1000,44,6951,36.093922,True,0,ok,43.74
abc,abc_pop,100,synthetic_scaling_1000,42,4460,276.073452,True,0,ok,283.79
abc,abc_iters,3162,synthetic_scaling_1000,42,5079,83.243582,True,0,ok,91.05
abc,abc_iters,3162,synthetic_scaling_1000,43,4728,86.550098,True,0,ok,93.8
abc,abc_iters,3162,synthetic_scaling_1000,44,5831,81.579256,True,0,ok,89.69
abc,abc_pop,100,synthetic_scaling_1000,43,5022,271.042129,True,0,ok,279.04
abc,abc_pop,100,synthetic_scaling_1000,44,6972,274.983078,True,0,ok,283.3
alns,alns_iters,500,synthetic_scaling_1000,42,60080,15.484257,True,0,ok,22.67
alns,alns_iters,500,synthetic_scaling_1000,43,38236,16.206305,True,0,ok,24.22
alns,alns_iters,500,synthetic_scaling_1000,44,49039,20.14048,True,0,ok,28.38
abc,abc_iters,7953,synthetic_scaling_1000,42,4724,197.221278,True,0,ok,204.77
alns,alns_iters,1257,synthetic_scaling_1000,42,47490,31.659778,True,0,ok,39.43
abc,abc_iters,7953,synthetic_scaling_1000,43,4421,201.612588,True,0,ok,209.04
alns,alns_iters,1257,synthetic_scaling_1000,43,33555,33.271206,True,0,ok,40.44
abc,abc_iters,7953,synthetic_scaling_1000,44,5439,198.003704,True,0,ok,205.7
alns,alns_iters,1257,synthetic_scaling_1000,44,39666,35.333346,True,0,ok,42.35
alns,alns_iters,3162,synthetic_scaling_1000,42,23923,71.336979,True,0,ok,79.21
alns,alns_iters,3162,synthetic_scaling_1000,43,28023,77.723322,True,0,ok,85.63
alns,alns_iters,3162,synthetic_scaling_1000,44,36337,76.522576,True,0,ok,83.87
alns,alns_iters,7953,synthetic_scaling_1000,42,21340,163.9826,True,0,ok,171.37
alns,alns_iters,7953,synthetic_scaling_1000,43,26453,177.327801,True,0,ok,185.26
alns,alns_iters,7953,synthetic_scaling_1000,44,11745,172.61886,True,0,ok,180.42
ga,ga_pop,20,synthetic_scaling_1000,42,14322,2.976555,True,0,ok,10.94
ga,ga_pop,20,synthetic_scaling_1000,43,13166,2.563867,True,0,ok,10.19
ga,ga_pop,20,synthetic_scaling_1000,44,13462,3.215764,True,0,ok,11.15
abc,abc_iters,20000,synthetic_scaling_1000,42,4512,477.691504,True,0,ok,485.49
abc,abc_iters,20000,synthetic_scaling_1000,43,4199,481.31284,True,0,ok,489.33
ga,ga_pop,65,synthetic_scaling_1000,42,11445,9.48234,True,0,ok,17.67
ga,ga_pop,65,synthetic_scaling_1000,43,9370,9.983963,True,0,ok,17.88
ga,ga_pop,65,synthetic_scaling_1000,44,10950,10.673278,True,0,ok,18.56
abc,abc_iters,20000,synthetic_scaling_1000,44,5229,488.431642,True,0,ok,495.28
ga,ga_pop,110,synthetic_scaling_1000,42,11146,16.465428,True,0,ok,23.73
ga,ga_pop,110,synthetic_scaling_1000,43,9044,19.020378,True,0,ok,26.59
ga,ga_pop,110,synthetic_scaling_1000,44,10074,20.142127,True,0,ok,28.24
ga,ga_pop,155,synthetic_scaling_1000,42,10093,36.84763,True,0,ok,44.35
ga,ga_pop,155,synthetic_scaling_1000,44,10332,29.040822,True,0,ok,36.35
ga,ga_pop,155,synthetic_scaling_1000,43,8104,37.926617,True,0,ok,45.37
ga,ga_iters,100,synthetic_scaling_1000,42,15647,3.204741,True,0,ok,11.37
ga,ga_pop,200,synthetic_scaling_1000,42,9915,39.568826,True,0,ok,47.37
ga,ga_iters,100,synthetic_scaling_1000,43,12692,3.3935,True,0,ok,11.53
ga,ga_iters,100,synthetic_scaling_1000,44,12170,3.67265,True,0,ok,11.91
ga,ga_iters,266,synthetic_scaling_1000,42,15647,4.109077,True,0,ok,12.25
ga,ga_iters,266,synthetic_scaling_1000,43,12692,3.508217,True,0,ok,11.47
ga,ga_pop,200,synthetic_scaling_1000,43,8304,40.305919,True,0,ok,48.49
ga,ga_iters,266,synthetic_scaling_1000,44,12170,3.726062,True,0,ok,11.77
ga,ga_pop,200,synthetic_scaling_1000,44,9508,45.786528,True,0,ok,54.12
ga,ga_iters,707,synthetic_scaling_1000,42,15647,7.262425,True,0,ok,15.04
ga,ga_iters,707,synthetic_scaling_1000,43,12692,7.26882,True,0,ok,14.85
ga,ga_iters,707,synthetic_scaling_1000,44,12170,7.900999,True,0,ok,15.97
ga,ga_iters,1880,synthetic_scaling_1000,42,15647,18.966908,True,0,ok,27.23
ga,ga_iters,1880,synthetic_scaling_1000,43,12692,19.71347,True,0,ok,27.83
ga,ga_iters,1880,synthetic_scaling_1000,44,12170,19.117361,True,0,ok,27.35
gd,gd_iters,1000,synthetic_scaling_1000,42,78444,0.371079,True,0,ok,8.27
gd,gd_iters,1000,synthetic_scaling_1000,43,52810,0.613769,True,0,ok,9.03
gd,gd_iters,1000,synthetic_scaling_1000,44,54660,0.585139,True,0,ok,9.0
gd,gd_iters,2659,synthetic_scaling_1000,42,78444,1.066868,True,0,ok,9.6
