set,algo,seed,iters,pair_parent,runtime_s,soft,hard,feasible,error
set1,tabu_cached,42,1000,tabu_cached,0.944232,10182,0,True,
set1,tabu_cuda,42,1000,tabu_cached,1.194899,10182,0,True,
set1,tabu_cached,43,1000,tabu_cached,0.85219,11758,0,True,
set1,tabu_cuda,43,1000,tabu_cached,1.025845,11758,0,True,
set1,tabu_cached,44,1000,tabu_cached,0.853783,10395,0,True,
set1,tabu_cuda,44,1000,tabu_cached,1.016436,10395,0,True,
set1,sa_cached,42,5000,sa_cached,0.72401,27488,0,True,
set1,sa_parallel_cuda,42,5000,sa_cached,0.280721,30173,5,False,
set1,sa_cached,43,5000,sa_cached,1.149897,24604,0,True,
set1,sa_parallel_cuda,43,5000,sa_cached,0.279355,26446,5,False,
set1,sa_cached,44,5000,sa_cached,1.200068,26698,0,True,
set1,sa_parallel_cuda,44,5000,sa_cached,0.302676,29641,4,False,
set1,alns_thompson,42,500,alns_thompson,1.687927,14673,0,True,
set1,alns_cuda,42,500,alns_thompson,1.991913,14673,0,True,
set1,alns_thompson,43,500,alns_thompson,2.204336,13027,0,True,
set1,alns_cuda,43,500,alns_thompson,2.507217,13027,0,True,
set1,alns_thompson,44,500,alns_thompson,2.865621,11977,0,True,
set1,alns_cuda,44,500,alns_thompson,2.34991,11977,0,True,
set1,ga,42,100,ga,3.670666,21126,0,True,
set1,ga_cuda,42,100,ga,5.326718,22821,0,True,
set1,ga,43,100,ga,4.307267,43462,0,True,
set1,ga_cuda,43,100,ga,5.11222,43462,0,True,
set1,ga,44,100,ga,4.978403,21407,0,True,
set1,ga_cuda,44,100,ga,5.448244,27944,0,True,
set1,abc,42,500,abc,7.571391,18243,0,True,
set1,abc_cuda,42,500,abc,6.892664,18243,0,True,
set1,abc,43,500,abc,7.524646,18673,0,True,
set1,abc_cuda,43,500,abc,6.710271,18673,0,True,
set1,abc,44,500,abc,7.524957,16677,0,True,
set1,abc_cuda,44,500,abc,7.671827,16677,0,True,
set1,hho,42,100,hho,7.436931,65424,0,True,
set1,hho_cuda,42,100,hho,6.845476,65424,0,True,
set1,hho,43,100,hho,7.109905,60270,0,True,
set1,hho_cuda,43,100,hho,6.961497,60270,0,True,
set1,hho,44,100,hho,7.887405,62608,0,True,
set1,hho_cuda,44,100,hho,6.702201,62608,0,True,
set1,woa,42,300,woa,6.383895,23927,0,True,
set1,woa_cuda,42,300,woa,6.245737,23927,0,True,
set1,woa,43,300,woa,6.714736,28088,0,True,
set1,woa_cuda,43,300,woa,6.208773,28088,0,True,
set1,woa,44,300,woa,6.621913,29471,0,True,
set1,woa_cuda,44,300,woa,5.937796,29471,0,True,
set4,tabu_cached,42,1000,tabu_cached,0.164639,54667,0,True,
set4,tabu_cuda,42,1000,tabu_cached,0.387256,54667,0,True,
set4,tabu_cached,43,1000,tabu_cached,0.26062,44766,0,True,
set4,tabu_cuda,43,1000,tabu_cached,0.417862,44766,0,True,
set4,tabu_cached,44,1000,tabu_cached,0.191268,49050,0,True,
set4,tabu_cuda,44,1000,tabu_cached,0.348835,49050,0,True,
set4,sa_cached,42,5000,sa_cached,0.592362,37178,0,True,
set4,sa_parallel_cuda,42,5000,sa_cached,0.260529,53464,6,False,
set4,sa_cached,43,5000,sa_cached,1.01464,40312,0,True,
set4,sa_parallel_cuda,43,5000,sa_cached,0.246481,47428,8,False,
set4,sa_cached,44,5000,sa_cached,0.889149,43201,0,True,
set4,sa_parallel_cuda,44,5000,sa_cached,0.220867,49499,8,False,
