set,pair,cpu_rt_s,gpu_rt_s,speedup_gpu/cpu,cpu_mean_soft,gpu_mean_soft,soft_diff,gpu_wins
set1,tabu_cached → tabu_cuda,0.88,1.08,0.82,10778.3,10778.3,0.0,False
set1,sa_cached → sa_parallel_cuda,1.02,0.29,3.56,26263.3,28753.3,2490.0,True
set1,alns_thompson → alns_cuda,2.25,2.28,0.99,13225.7,13225.7,0.0,False
set1,ga → ga_cuda,4.32,5.3,0.82,28665.0,31409.0,2744.0,False
set1,abc → abc_cuda,7.54,7.09,1.06,17864.3,17864.3,0.0,True
set1,hho → hho_cuda,7.48,6.84,1.09,62767.3,62767.3,0.0,True
set1,woa → woa_cuda,6.57,6.13,1.07,27162.0,27162.0,0.0,True
set4,tabu_cached → tabu_cuda,0.21,0.38,0.53,49494.3,49494.3,0.0,False
set4,sa_cached → sa_parallel_cuda,0.83,0.24,3.43,40230.3,50130.3,9900.0,True
set4,alns_thompson → alns_cuda,2.46,3.25,0.76,48074.7,48074.7,0.0,False
set4,ga → ga_cuda,4.06,4.58,0.89,40785.7,40785.7,0.0,False
set4,abc → abc_cuda,17.46,17.74,0.98,33551.3,33551.3,0.0,False
set4,hho → hho_cuda,3.49,2.93,1.19,53589.0,53589.0,0.0,True
set4,woa → woa_cuda,8.51,8.87,0.96,46378.7,46378.7,0.0,False
set5,tabu_cached → tabu_cuda,1.7,1.64,1.04,6454.0,6454.0,0.0,False
set5,sa_cached → sa_parallel_cuda,1.55,0.38,4.09,27936.3,24581.3,-3355.0,True
set5,alns_thompson → alns_cuda,2.23,3.16,0.7,69226.3,69226.3,0.0,False
set5,ga → ga_cuda,3.19,4.95,0.64,10625.7,10625.7,0.0,False
set5,abc → abc_cuda,5.68,5.18,1.09,8077.7,8077.7,0.0,True
set5,hho → hho_cuda,6.12,5.66,1.08,383901.7,383901.7,0.0,True
set5,woa → woa_cuda,3.86,4.08,0.95,26598.7,26598.7,0.0,False
set7,tabu_cached → tabu_cuda,3.09,2.8,1.1,9587.3,9587.3,0.0,True
set7,sa_cached → sa_parallel_cuda,2.81,0.56,5.04,18669.0,40458.3,21789.3,True
set7,alns_thompson → alns_cuda,6.72,6.54,1.03,39335.0,39335.0,0.0,False
set7,ga → ga_cuda,5.8,7.36,0.79,12578.0,11988.3,-589.7,False
set7,abc → abc_cuda,10.48,10.89,0.96,12548.7,12548.7,0.0,False
set7,hho → hho_cuda,12.83,9.94,1.29,235585.3,235585.3,0.0,True
set7,woa → woa_cuda,11.68,11.8,0.99,17410.0,17410.0,0.0,False
set8,tabu_cached → tabu_cuda,1.16,1.38,0.84,13904.7,13904.7,0.0,False
set8,sa_cached → sa_parallel_cuda,1.25,0.31,4.08,20842.3,38716.3,17874.0,True
set8,alns_thompson → alns_cuda,1.99,3.16,0.63,24649.7,24649.7,0.0,False
set8,ga → ga_cuda,3.81,5.72,0.67,18495.0,18808.0,313.0,False
set8,abc → abc_cuda,6.7,7.28,0.92,17284.0,17284.0,0.0,False
set8,hho → hho_cuda,8.56,7.23,1.18,522457.3,522457.3,0.0,True
set8,woa → woa_cuda,6.35,7.54,0.84,18081.7,18081.7,0.0,False
